"entity_id","canonical_metabolite","KEGG_ID","Pathway"
"IK_WHBHBVVOGNECLV-OBQKJFGGSA-N","Cortodoxone","C05488","Steroid hormone biosynthesis"
"IK_MCKLJFJEQRYRQT-APGJSSKUSA-N","20alpha-Hydroxycholesterol","C05500","Steroid hormone biosynthesis"
"IK_PQSUYGKTWSAVDQ-ZVIOFETBSA-N","Aldosterone","C01780","Steroid hormone biosynthesis"
"IK_RHQQHZQUAMFINJ-DTDWNVJFSA-N","Tetrahydrocorticosterone","C05476","Steroid hormone biosynthesis"
"IK_CQOQDQWUFQDJMK-SSTWWWIQSA-N","2-methoxyestradiol (2-ME2)","C05302","Steroid hormone biosynthesis"
"IK_WHEUWNKSCXYKBU-QPWUGHHJSA-N","2-methoxyestrone (2-ME1)","C05299","Steroid hormone biosynthesis"
"IK_DNXHEGUUPJUMQT-CBZIJGRNSA-N","estron (E1)","C00468","Steroid hormone biosynthesis"
"IK_VOXZDWNPVJITMN-ZBRFXRBCSA-N","estradiol (E2)","C00951","Steroid hormone biosynthesis"
"IK_ZDXPYRJPNDTMRX-GSVOUGTGSA-N","D-Glutamine","C00819","D-Amino acid metabolism"
"IK_ODHCTXKNWHHXJC-GSVOUGTGSA-N","(R)-(+)-2-Pyrrolidone-5-carboxylic acid","C02237","D-Amino acid metabolism"
"IK_KDYFGRWQOYBRFD-UHFFFAOYSA-N","Succinic acid","C00036","D-Amino acid metabolism"
"IK_KHPXUQMNIQBQEV-UHFFFAOYSA-N","Oxaloacetate","C00036","D-Amino acid metabolism"
"IK_BWHGMFYTDQEALD-UHFFFAOYSA-N","5-Amino-2-oxopentanoic acid","C01110","D-Amino acid metabolism"
"IK_KEECCEWTUVWFCV-UHFFFAOYSA-N","N-Acetylprocainamide","C01110","D-Amino acid metabolism"
"IK_ARBHXJXXVVHMET-UHFFFAOYSA-N","2-Oxoarginine","C03771","D-Amino acid metabolism"
"IK_ODKSFYDXXFIFQN-SCSAIBSYSA-N","D-Arginine","C00792","D-Amino acid metabolism"
"IK_AHLPHDHHMVZTML-SCSAIBSYSA-N","D-Ornithine","C00515","D-Amino acid metabolism"
"IK_MTCFGRXMJLQNBG-REOHCLBHSA-N","L-Serine","C00065","D-Amino acid metabolism"
"IK_MTCFGRXMJLQNBG-UHFFFAOYNA-N","Serine","C00065","D-Amino acid metabolism"
"IK_MTCFGRXMJLQNBG-UWTATZPHSA-N","D-serine","C00740","D-Amino acid metabolism"
"IK_QUNWUDVFRNGTCO-UHFFFAOYSA-N","para-xanthine","C13747","Caffeine metabolism"
"IK_QFDRTQONISXGJA-UHFFFAOYSA-N","1-Methyluric acid","C16359","Caffeine metabolism"
"IK_RYYVLZVUVIJVGH-UHFFFAOYSA-N","Caffeine","C07481","Caffeine metabolism"
"IK_MVOYJPOZRLFTCP-UHFFFAOYSA-N","1-Methylxanthine","C16358","Caffeine metabolism"
"IK_YAPQBXQYLJRXSA-UHFFFAOYSA-N","Theobromine","C07480","Caffeine metabolism"
"IK_RDZNZFGKEVDNPK-UHFFFAOYSA-N","5-acetylamino-6-formylamino-3-methyluracil","C16365","Caffeine metabolism"
"IK_PFWLFWPASULGAN-UHFFFAOYSA-N","7-Methylxanthine","C16353","Caffeine metabolism"
"IK_COLNVLDHVKWLRT-QMMMGPOBSA-N","L-Phenylalanine","C00079","Phenylalanine, tyrosine and tryptophan biosynthesis"
"IK_COLNVLDHVKWLRT-UHFFFAOYNA-N","Phenylalanine","C00079","Phenylalanine, tyrosine and tryptophan biosynthesis"
"IK_JUAPMRSLDANLAS-HOTGVXAUSA-N","Phe Phe","C00079","Phenylalanine, tyrosine and tryptophan biosynthesis"
"IK_OUYCCCASQSFEME-QMMMGPOBSA-N","L-Tyrosine","C00082","Phenylalanine, tyrosine and tryptophan biosynthesis"
