PC1,PC2,entity_id,canonical_metabolite,study_id,matrix_clean,mode_clean,phase_clean
0.27096391609152565,-0.05093494634852025,IK_NWGKJDSIEKMTRX-MDZDMXLPSA-N,Arlacel,MTBLS11904,plasma,Negative,Reverse phase/C18
0.16098892132362366,-0.058776679159043846,IK_NWGZOALPWZDXNG-UHFFFAOYNA-N,"N,N-Dimethylarginine",MTBLS11904,plasma,Positive,Reverse phase/C18
0.6608684112112728,-0.02166044471374866,IK_NWIUTZDMDHAVTP-UHFFFAOYSA-N,Betaxolol,MTBLS11904,plasma,Positive,Reverse phase/C18
0.2116105215967623,-0.0552824192181135,IK_NWVJXHCRPZDUPG-WYGAFBEVSA-N,"(6E,8R,10Z)-8-hydroxy-3-oxohexadecadienoic acid",MTBLS11904,plasma,Negative,Reverse phase/C18
0.2717540404864511,-0.05055232874178014,IK_NWWJFMCCTZLKNT-UHFFFAOYSA-N,Dihydrothiazine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.06204975439015571,-0.06612294871128135,IK_NXJAXUYOQLTISD-SECBINFHSA-N,Glutarylcarnitine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.3162026984458673,-0.04725199945322232,IK_NXJAXUYOQLTISD-UHFFFAOYSA-N,O-Glutarylcarnitine,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.22142397765385824,-0.08717097694777456,IK_NXJDPFSYOMFVES-SUTPNROZSA-N,3-O-Sulfogalactosylceramide (d18:1/18:1(9Z)),MTBLS11904,plasma,Positive,Reverse phase/C18
-0.0192555181368957,-0.0721598950192302,IK_NXJSQJIGCCIMAE-ORIYTCASSA-N,Polyporenic acid C,MTBLS11904,plasma,Positive,Reverse phase/C18
0.2038996026841613,-0.05584722241795599,IK_NXYCBMGKNCJXIC-CNEMSGBDSA-N,Bz-Camp,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.03464859194495768,-0.07954993968477189,IK_NYHBQMYGNKIUIF-UUOKFMHZSA-N,Guanosine,38516193,plasma,Positive,LC-MS/unspecified
-0.011947511363911974,-0.07161727252388664,IK_NYLNHNDMNOPWAZ-ZLEFDVGRSA-N,Blumenol C glucoside,MTBLS11904,plasma,Positive,Reverse phase/C18
0.2198671934077096,-0.054404945987168746,IK_NYPJDWWKZLNGGM-UHFFFAOYSA-N,Fenvalerate,MTBLS11904,plasma,Positive,Reverse phase/C18
