entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent
IK_VQPVVWAFTIFKDD-LURJTMIESA-N,Gamma-Glutamyl-beta-aminopropiononitrile,Gamma-Glutamyl-beta-aminopropiononitrile,VQPVVWAFTIFKDD-LURJTMIESA-N,C8H13N3O3,1,1,1,0,0.567916827,0.567916827,0.567916827,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_OPTASPLRGRRNAP-UHFFFAOYSA-N,Cytosine,Cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,C4H5N3O,1,1,1,0,0.567418538,0.567418538,0.567418538,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_BCDGQXUMWHRQCB-UHFFFAOYSA-N,Aminoacetone,Aminoacetone,BCDGQXUMWHRQCB-UHFFFAOYSA-N,C9H17NO5,1,1,1,0,0.565597176,0.565597176,0.565597176,1.02e-7,28880465,Up in PD,1,FALSE,FALSE
IK_JNMDCUOOYCRSIP-WLFVLELZSA-N,TG 42:3,TG 42:3,JNMDCUOOYCRSIP-WLFVLELZSA-N,C45H80O6,1,1,1,0,0.565597176,0.565597176,0.565597176,0.0184,37755270,Up in PD,1,FALSE,FALSE
IK_PGYNJJCWPCAGLG-GYHWCHFESA-N,TG 14:0_16:0_17:1,TG 14:0_16:0_17:1,PGYNJJCWPCAGLG-GYHWCHFESA-N,C50H94O6,1,1,1,0,0.565597176,0.565597176,0.565597176,NA,37755270,Up in PD,1,FALSE,FALSE
UNKNOWN_ROW__24167579__unknown_172,unknown_172,unknown_172,NA,NA,1,1,1,0,0.565597176,0.565597176,0.565597176,NA,24167579,Up in PD,1,FALSE,FALSE
UNKNOWN_ROW__24167579__unknown_193,unknown_193,unknown_193,NA,NA,1,1,1,0,0.565597176,0.565597176,0.565597176,NA,24167579,Up in PD,1,FALSE,FALSE
IK_UPSPUYADGBWSHF-UHFFFAOYSA-N,Tolmetin,Tolmetin,UPSPUYADGBWSHF-UHFFFAOYSA-N,C15H15NO3,1,1,1,0,0.564030171,0.564030171,0.564030171,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_DRIVXEVMDWCWLI-CAQMIEAISA-N,"PE(16:0/20:4(5Z,8Z,11Z,14Z))","PE(16:0/20:4(5Z,8Z,11Z,14Z))",DRIVXEVMDWCWLI-CAQMIEAISA-N,C41H74NO8P,1,1,0,1,-0.563797636,-0.563797636,0.563797636,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_DOVMKWVMZQLOPP-CRYQCFGISA-N,"PE(22:0/20:3(8Z,11Z,14Z)-2OH(5,6))","PE(22:0/20:3(8Z,11Z,14Z)-2OH(5,6))",DOVMKWVMZQLOPP-CRYQCFGISA-N,C47H88NO10P,1,1,0,1,-0.563664759,-0.563664759,0.563664759,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_PITVQFJBUFDJDD-XEGUGMAKSA-N,Tryptophyl-Isoleucine,Tryptophyl-Isoleucine,PITVQFJBUFDJDD-XEGUGMAKSA-N,C17H23N3O3,1,1,1,0,0.560442489,0.560442489,0.560442489,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_FIJFPUAJUDAZEY-MNDXXDKYSA-N,"PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",FIJFPUAJUDAZEY-MNDXXDKYSA-N,C45H78NO7P,1,1,0,1,-0.558648648,-0.558648648,0.558648648,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_UILPJVPSNHJFIK-UHFFFAOYSA-N,Paeonol,Paeonol,UILPJVPSNHJFIK-UHFFFAOYSA-N,C9H10O3,1,1,1,0,0.557585631,0.557585631,0.557585631,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_GJUABKCEXOMRPQ-UHFFFAOYSA-N,C.I. Solvent Red 80,C.I. Solvent Red 80,GJUABKCEXOMRPQ-UHFFFAOYSA-N,C18H16N2O3,1,1,0,1,-0.557419534,-0.557419534,0.557419534,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_DHHREGPDDQTYPB-UNRGBGOYSA-N,PE P-38:4 or PE O-38:5,PE P-38:4 or PE O-38:5,DHHREGPDDQTYPB-UNRGBGOYSA-N,C43H78NO7P,1,1,0,1,-0.556393349,-0.556393349,0.556393349,NA,37755270,Down in PD,1,FALSE,FALSE
