entity_id,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
IK_OPEGYZAATHKDEM-HCWXCVPCSA-N,2.0313382,1.1872478,1.7470884,3.36264,-0.6715012,3.982809,-0.4377854,-0.6924875,-0.31954116,-0.50627756,-2.550286,0.260014,-0.2416777,0.7935074,1.817951,0.8960715,-2.2349987,0.12995754,1.2892628,-0.23944274,-0.98289376,1.8269095,-1.6101346,1.0903083
IK_OPKOKAMJFNKNAS-UHFFFAOYSA-N,-1.6990037,1.6977005,3.7123017,2.4313006,-2.7367663,-2.6026678,-0.6725909,-0.42390153,-0.60161865,0.69103146,-0.86007684,-0.6910229,-2.3115594,3.4178095,-2.405997,-0.27717596,0.65199167,1.3436875,-0.48778948,0.93411225,2.9485664,-0.28365216,0.49838087,4.2699585
IK_OPQNCARIZFLNLF-JBHFWYGFSA-N,-0.34215522,-1.1166499,-1.5315603,0.69239944,1.7147515,0.52522606,0.40106055,1.2639115,-3.8051276,-0.5322987,2.465113,-3.9545698,0.92268467,-3.26598,-1.1391988,-2.0259016,-2.3661282,-4.4376364,-0.5147317,-0.02489495,-0.818786,-0.057023752,-5.197101,-1.4040973
IK_OPTASPLRGRRNAP-UHFFFAOYSA-N,2.6495614,-1.9802209,2.5124595,5.021824,1.719863,0.92615217,0.12075499,0.3480984,1.1553477,0.8130616,2.3972747,1.4180607,2.1049395,0.824965,-1.7978773,1.0680741,-2.0505733,-2.207982,1.2396462,2.8813086,0.6131906,-1.2766997,1.2002691,3.080229
IK_OPWAZQSWJQLOAK-UHFFFAOYSA-N,1.8240775,1.0856284,0.9790017,2.5078108,-0.27423483,3.5094101,-0.3075098,-0.58605915,-0.24288449,-0.73134685,-2.2434478,0.01612702,-0.2105079,0.53334945,1.9630499,0.7163673,-1.5998024,0.18892072,0.8944602,-0.11113953,-0.58799434,1.5801332,-1.5096861,0.5299022
IK_OPXYKICHKIQGOV-UPHRSURJSA-N,1.6278098,0.057702176,-2.9036078,-1.5289383,3.6198895,1.6231698,1.3055441,-0.2770982,0.113363236,-2.985918,2.0491183,-2.5751536,-0.67608213,-2.918352,0.76874334,0.19098848,0.5451054,-0.50371754,-1.0593673,0.14205942,1.6794634,-0.13658418,-2.5616035,-1.9853599
IK_OQDPVLVUJFGPGQ-UHFFFAOYSA-N,1.9404947,-1.157215,0.039080136,0.26836425,1.3056859,0.39024964,-0.374018,1.7373803,2.03138,0.6973355,2.9076743,1.8031816,1.0799214,-2.1652105,-1.8007258,-1.7086467,1.529888,-1.3481379,-1.0286487,0.9888841,0.949092,-1.9767551,0.91239095,1.0606456
IK_OQOOVTUAIDXHMC-KCWQRWSDSA-N,-1.9390568,-0.3493481,1.0358883,-0.8522457,-2.643075,0.95044523,-1.6586443,-0.13889357,-1.8561711,0.43909046,-2.386323,-0.7745248,-2.0418937,-1.1818925,-0.58914924,0.026541168,0.10725409,1.0183882,1.5047208,-2.487503,-1.4804093,1.4425281,-2.6443994,-0.13381949
IK_OQWOHRPOYAVIOK-UHFFFAOYSA-N,-1.734428,1.0867039,0.3389666,-1.3488432,-2.2762072,0.822088,-1.4542649,0.38927788,-1.4071132,-0.26562232,-2.0375218,0.62930363,-1.1974589,0.813552,0.80009913,-0.2614013,0.11002697,1.3775895,-0.19206949,-2.1988943,-0.90121865,1.7256445,-1.1420013,-0.3043034
IK_OQYZCCKCJQWHIE-UHFFFAOYSA-N,1.7672673,1.8779355,0.2345513,-3.2577012,-1.7190579,2.6299396,-1.3702973,2.5142004,0.4199251,-0.8016274,-1.2413357,3.5685513,-1.9026166,-1.5223404,1.4848927,-2.4483519,4.5917315,1.4365746,-1.3171722,-2.5542178,0.87596536,1.5204138,0.11047995,-0.98069835
IK_OQZCSNDVOWYALR-UHFFFAOYSA-N,1.8051387,-1.1675609,-0.42729956,2.5825188,2.8864274,0.916416,1.6284919,-1.3739552,-0.4452511,-1.2190034,0.89935833,-1.5839756,0.8668157,0.1009437,0.7360821,2.2691846,-2.6981502,-1.5236081,0.9725146,1.6787248,0.37304345,0.22744669,-1.0529274,0.05065889
IK_OQZSGNGSHMDCAR-UHFFFAOYSA-N,-1.1532323,0.9926055,-1.1900904,-0.64766264,0.43848446,-0.65364885,0.90827256,-1.5315936,-1.5731227,-2.646504,-0.70718575,-2.9392636,-1.8024668,0.32439533,0.2487619,1.6208779,-0.08631249,1.7022009,0.11126422,-0.37573162,1.6428607,-0.055167135,-1.8951063,-0.53268576
IK_ORDAZKGHSNRHTD-UXHICEINSA-N,-4.3350754,-3.5450704,-3.2398844,-3.6918828,1.9302567,-5.6243744,0.9771547,-0.7555658,2.584438,1.1308726,4.817824,-3.4754815,1.5783974,-3.6372423,-5.8347735,-1.8923994,0.8071159,1.1144987,-2.8974657,-0.049079195,-0.4473087,-6.1830277,1.2689092,-0.25696057
IK_ORHVVTAURCZTDT-QZQOTICOSA-N,0.82806635,0.8799721,1.0866554,1.7092,-0.882777,1.7932938,-0.40261433,-0.26202095,-0.41033685,-0.3728615,-1.6126757,0.35857433,-0.6147864,0.72464293,0.85895646,0.38653243,-0.869228,0.39572504,0.7565752,-0.26168567,-0.26174948,1.1371851,-0.86319315,0.7424757
IK_OROAFUQRIXKEMV-LDADJPATSA-N,1.623483,-0.73831105,-0.6003045,2.7759686,3.0359483,0.9814244,2.121913,-2.0697112,-0.74685204,-1.6740474,0.077689156,-2.2194064,0.6426152,0.7408504,1.5984628,2.9178452,-3.1607788,-1.038383,1.1448328,1.6923234,0.47604495,0.5903261,-1.3210021,-0.124743566
IK_OROGUZVNAFJPHA-UHFFFAOYSA-N,0.51591593,0.66062856,0.128566,-2.4128847,-0.9066903,-0.8866207,-0.8598186,1.7765744,1.1518816,-0.20378417,1.5152708,1.7528406,-1.282353,-1.481131,-1.4986111,-2.3594391,3.9239683,0.82283634,-1.9190967,-0.6637485,2.3547559,-1.3129935,1.1911014,0.79493266
IK_ORQXBVXKBGUSBA-UHFFFAOYSA-N,1.5375249,1.4756804,0.74113363,1.9172738,-0.45581535,2.6173503,-0.17156242,-0.19574961,-0.29755786,-1.0501089,-1.6406407,0.6820005,-0.113705136,1.2082458,1.8357981,0.34726962,-1.1536049,0.3700422,0.28715816,0.10523043,-0.11640758,1.2818806,-0.68712115,0.59671605
IK_ORTIQSICVORWBJ-UHFFFAOYSA-N,0.2175433,-0.38728848,-1.2962607,0.26826766,1.9168624,-0.24564478,1.5253788,-1.632628,-0.339347,-1.4485732,0.03043136,-1.6533269,-0.053008407,0.0859858,1.2810985,2.124793,-1.2674656,0.28756773,0.50026697,0.5766057,0.5936498,0.45192447,-0.66074646,-1.1536713
IK_ORVQWHLMVLOZPX-ZZXKWVIFSA-N,1.3924154,0.35008404,-1.7440711,-2.3529027,2.2696178,-0.31925973,1.2128571,-0.83463186,2.6031303,-1.834081,1.1501288,0.43230197,-0.68862915,-0.77027774,1.0177333,0.91310287,2.356554,1.9678447,-1.3333474,0.26958102,2.5523398,-0.7636092,1.7618155,-0.78621703
IK_ORXKASWXOVPKDV-UBWBUNFISA-N,-3.206777,-1.6619593,-3.5610595,-3.543116,1.1749958,-2.125474,1.4815289,-2.9507246,0.7536945,-0.9049907,-1.1023159,-1.643883,0.7180959,-0.08346779,1.4979166,2.1917813,-1.247745,3.0884702,-0.089215025,-1.9335017,-2.5325177,-0.48191643,0.955122,-3.4323046
IK_OSCCDBFHNMXNME-UHFFFAOYSA-N,1.305458,1.7621903,0.61875224,1.7065693,-0.60006595,2.6396952,-0.09492435,-0.21468297,-0.5137578,-1.320633,-1.8448259,0.7965042,-0.020625114,1.5062131,2.212514,0.3488383,-1.2011826,0.5889631,0.13375281,0.04254608,-0.09652848,1.3890954,-0.71061385,0.39024836
IK_OSCJFAHVJDDMFL-UHFFFAOYSA-N,-0.9813566,-0.17518818,-0.23270045,-1.8417333,-0.9926842,-0.05165781,-0.5221306,-0.13633838,-0.55482286,-0.20371982,-1.2853022,-0.031302206,-1.1320949,-0.90430653,0.02483045,-0.24911554,0.99038315,1.2056797,0.45698944,-1.7167248,-0.5024042,0.60093117,-0.5440379,-0.8791605
