entity_id,canonical_metabolite,primary_pathway
IK_GPWHCUUIQMGELX-VHQDNGOZSA-N,PC 32:2,Linoleic acid metabolism
IK_GQQALHZKRGXRTO-AEMURDCYSA-N,"PC(20:0/20:5(5Z,8Z,11Z,14Z,17Z))",Linoleic acid metabolism
IK_GQQZXRPXBDJABR-XMDONHODSA-N,3-O-Sulfogalactosylceramide (d18:1/18:0),Sphingolipid metabolism
IK_GRSZFWQUAKGDAV-KQYNXXCUSA-N,Inosinic acid,Purine metabolism
IK_GTZCVFVGUGFEME-IWQZZHSRSA-N,cis-Aconitic acid,Citrate cycle (TCA cycle)
IK_GTZCVFVGUGFEME-UHFFFAOYSA-N,aconitic acid,Citrate cycle (TCA cycle)
IK_GUBGYTABKSRVRQ-CUHNMECISA-N,Cellobiose,Starch and sucrose metabolism
IK_GUBGYTABKSRVRQ-QKKXKWKRSA-N,lactose,Galactose metabolism
IK_GUMSBNXGPBAONF-UBRVPYPMSA-N,"PE(20:3(8Z,11Z,14Z)/24:1(15Z))",Glycerophospholipid metabolism
IK_GURBRQGDZZKITB-VXBMJZGYSA-N,12-KETE,Arachidonic acid metabolism
IK_GYJSAWZGYQXRBS-GRJZKGIBSA-N,"3beta,7alpha-Dihydroxy-5-cholestenoate",Primary bile acid biosynthesis
IK_HAEJPQIATWHALX-KQYNXXCUSA-N,Inosine triphosphate,Purine metabolism
IK_HAFVWTUQBYRPOB-QGGNSXJXSA-N,"11b,17a,21-Trihydroxypreg-nenolone",Steroid hormone biosynthesis
IK_HDHQZCHIXUUSMK-UHFFFAOYSA-N,"2,4-Quinolinediol",Cysteine and methionine metabolism
IK_HEBKCHPVOIAQTA-QWWZWVQMSA-N,lyxitol,Pentose and glucuronate interconversions
IK_HKVGJQVJNQRJPO-VTDDDATNSA-N,Demethyloleuropein,Sphingolipid metabolism
IK_HLAWVOWADPNAGN-BAHZUFOISA-N,"Delta8,14-Sterol",Steroid biosynthesis
IK_HMARMWSETGYKDK-AOGVJQIJSA-N,"PE(14:0/18:2(9Z,12Z))",Glycerophospholipid metabolism
IK_HNDVDQJCIGZPNO-YFKPBYRVSA-N,Histidine,Histidine metabolism
IK_HNFSZKRUPTYBOQ-ZDYOIFAYSA-N,"PE(18:0/22:4(7Z,10Z,13Z,16Z))",Glycerophospholipid metabolism
IK_HTZINLFNXLXRBC-CQLBIITFSA-N,PC(P-16:0/0:0),Glycerophospholipid metabolism
IK_HUQABGDIJUXLRG-QHCPKHFHSA-N,DG(O-18:0/2:0/0:0),Ether lipid metabolism
IK_HVYWMOMLDIMFJA-DPAQBDIFSA-N,Cholesterol,Steroid hormone biosynthesis
IK_HWXBTNAVRSUOJR-UHFFFAOYSA-N,2-hydroxyglutaric acid,Butanoate metabolism
IK_HXACOUQIXZGNBF-UHFFFAOYSA-N,4-Pyridoxic Acid,Vitamin B6 metabolism
IK_HXEACLLIILLPRG-UHFFFAOYSA-N,Pipecolic acid,Lysine degradation
IK_HXEACLLIILLPRG-YFKPBYRVSA-N,L-Pipecolic acid,Lysine degradation
IK_HXXFSFRBOHSIMQ-VFUOTHLCSA-N,glucose-1-phosphate,Starch and sucrose metabolism
IK_HZAXFHJVJLSVMW-UHFFFAOYSA-N,Ethanolamine,Glycerophospholipid metabolism
IK_HZCLJRFPXMKWHR-FEBLJDHQSA-N,SM(d18:1/12:0),Sphingolipid metabolism
IK_HZDLKNOGBSMKRN-UHFFFAOYSA-N,Imidazolone A,Histidine metabolism
IK_IESVDEZGAHUQJU-ZLBXKVHBSA-N,"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",Linoleic acid metabolism
IK_IHNKQIMGVNPMTC-RUZDIDTESA-N,PC(18:0/0:0),Glycerophospholipid metabolism
